Name,Dates associated with name,Type of name,Role,Other names,BL record ID,Type of resource,Content type,Material type,BNB number,ISBN,Title,Variant titles,Series title,Number within series,Country of publication,Place of publication,Publisher,Date of publication,Edition,Physical description,Dewey classification,BL shelfmark,Topics,Genre,Languages,Notes
5pb,,person,author,"Sarachi, Yomi, artist [person] ; 5pb, author [person] ; Nitroplus, author [person]",017381699,Monograph,Language material ; Text,Volume,GBB570916,9781927925508,Steins;gate. Volume 1,,,,Canada,Richmond Hill,Udon Entertainment,2015,English edition,"1 volume (unpaged), chiefly colour illustrations, 18 cm",741.5,,,Science fiction,English,Translated from the Japanese
5pb,,person,author,"Sarachi, Yomi, artist [person] ; 5pb, author [person] ; Nitroplus, author [person]",017533820,Monograph,Language material ; Still image ; Text,Volume,GBB5C1618,9781927925553,Steins;Gate. Volume 2,,,,Canada,Richmond Hill,Udon Entertainment,2015,,"1 volume (unpaged), chiefly colour illustrations, 18 cm",741.5,,,Science fiction,English,Translated from the Japanese
"5pb, Inc. (Firm)",,organisation,author,"Sarachi, Yomi, artist [person] ; Nitroplus (Firm), author [organisation] ; 5pb, Inc. (Firm), author [organisation]",017745202,Monograph,Language material ; Still image ; Text,Volume,GBB624577,9781927925713,Steins;Gate. Volume 3,,,,Canada,Richmond Hill,Udon Entertainment,2016,,"1 volume (unpaged), chiefly colour illustrations, 18 cm",741.5,,,Science fiction,English,Translated from the Japanese
A Larger World Studios,,organisation,,"Terry, Jim, artist ; author [person] ; A Larger World Studios [organisation] ; Seeley, Tim, author [person] ; Oliva, Aikau [person]",017766293,Monograph,Language material ; Still image ; Text,Volume,GBB634622,9781606908815,Alice Cooper vs. Chaos,Alice Cooper versus Chaos,,,United States of America,Mount Laurel,Dynamite,2016,,"1 volume (unpaged), chiefly colour illustrations, 26 cm",741.5973,YKL.2017.b.5524,"Cooper, Alice, 1948---Comic books, strips, etc--Fiction ; Graphic novels",Comic or graphic novel ; Fiction ; Horror,English,Collects the complete 6-issue miniseries
"ABe, Yoshitoshi",1971-,person,,"Jarvis, Mulele [person] ; ABe, Yoshitoshi, 1971- [person] ; Jaffe, Taliesin [person] ; Klein, Jonathan [person] ; Geneon Entertainment (Usa) [organisation]",013470413,Monograph,Language material ; Text,Volume,GBA648197,,Yoshitoshi ABe's Haibane Renmei anime manga,Haibane Renmei anime manga,,,United States of America,"Milwaukie, Oregon",Dark Horse Manga,2006-,,"volumes, chiefly colour illustrations, 19 cm",741.5952,YK.2009.a.22034,"Angels--Comic books, strips, etc",Comic or graphic novel ; Fantasy ; Novel,English,"'Features the first six chapters from New feathers and Wings of sorrow'--Vol. 1, back cover ; 'Manga / science fiction / action.'--p. 4 of cover ; Description based on v. 1: written by Yoshitoshi ABe ; Translated from the Japanese"
"Aaron, Jason",,person,,"Aaron, Jason [person] ; Bachalo, Chris [person] ; Bradshaw, Nick, artist [person]",016106972,Monograph,Language material ; Text,Volume,GBB259556,9780785159995,Wolverine and the X-Men. Volume 3,,,,England ; United States of America,London ; New York,Marvel ; Turnaround,2012,,"1 volume, chiefly colour illustrations, 26 cm",741.5,,"X-Men (Fictitious characters)--Fiction ; Wolverine (Fictitious character)--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fiction ; Science fiction,English,
"Aaron, Jason",,person,,"Aaron, Jason [person] ; Bachalo, Chris [person] ; Bradshaw, Nick, artist [person]",016135514,Monograph,Language material ; Text,Volume,GBB274768,9780785156802,Wolverine and the X-Men. Volume 1,,,,England ; United States of America,London ; New York,Marvel ; Turnaround,2012,,"1 volume, chiefly colour illustrations, 26 cm",741.5,,"X-Men (Fictitious characters)--Fiction ; Wolverine (Fictitious character)--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fiction ; Science fiction,English,
"Aaron, Jason",,person,,"Aaron, Jason [person] ; Bachalo, Chris [person] ; Bradshaw, Nick, artist [person]",016156147,Monograph,Language material ; Text,Volume,GBB284662,9780785165422,Wolverine and the X-Men. Volume 4,,,,England ; United States of America,London ; New York,Marvel ; Turnaround,2012,,"1 volume, chiefly colour illustrations, 26 cm",741.5,,"X-Men (Fictitious characters)--Fiction ; Wolverine (Fictitious character)--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fiction ; Science fiction,English,
"Aaron, Jason",,person,,"Aaron, Jason [person] ; Bachalo, Chris [person] ; Bradshaw, Nick, artist [person]",016219170,Monograph,Language material ; Text,Volume,GBB2B9613,9780785156826,Wolverine and the X-Men. Volume 2,,,,England ; United States of America,London ; New York,Marvel ; Turnaround,2013,,"1 volume, chiefly colour illustrations, 26 cm",741.5,,"X-Men (Fictitious characters)--Fiction ; Wolverine (Fictitious character)--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fiction ; Science fiction,English,
"Aaron, Jason",,person,,"Aaron, Jason [person] ; Bachalo, Chris [person] ; Bradshaw, Nick, artist [person]",016233498,Monograph,Language material ; Text,Volume,GBB2C7547,9780785160007,Wolverine and the X-Men. Volume 3,,,,England ; United States of America,London ; New York,Marvel ; Turnaround,2013,,"1 volume, chiefly colour illustrations, 26 cm",741.5,,"X-Men (Fictitious characters)--Fiction ; Wolverine (Fictitious character)--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fiction ; Science fiction,English,
"Aaron, Jason",,person,,"Aaron, Jason [person] ; Bachalo, Chris [person]",015964916,Monograph,Language material ; Text,Volume,GBB1C9021,9781846535130,Wolverine and the X-Men. Regenesis,Regenesis,,,England,Tunbridge Wells,Panini,2012,,"approximately 150 pages, chiefly colour illustrations, 26 cm",741.5973,YK.2012.b.10604,"X-Men (Fictitious characters)--Fiction ; Wolverine (Fictitious character)--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fiction ; Science fiction,English,'Collecting Wolverine and the X-Men #1-7'--Back cover
"Aaron, Jason",,person,,"Aaron, Jason [person] ; Bradshaw, Nick, artist [person]",016094743,Monograph,Language material ; Text,Volume,GBB252359,9780785156819,Wolverine and the X-Men. Volume 2,,,,England ; United States of America,London ; New York,Marvel ; Turnaround,2012,,"1 volume, chiefly colour illustrations, 26 cm",741.5,,"X-Men (Fictitious characters)--Fiction ; Wolverine (Fictitious character)--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fiction ; Science fiction,English,
"Aaron, Jason",,person,,"Aaron, Jason [person] ; Dillon, Steve [person] ; Palo, Jefte [person]",016176407,Monograph,Language material ; Text,Volume,GBB296136,9780785161127,Incredible Hulk. Volume 2,,,,England ; United States of America,London ; New York,Marvel ; Turnaround,2013,,"1 volume, chiefly illustrations, 28 cm",741.5,,"Hulk, (Fictitious character)--Comic book, strips, etc--Fiction",Comic or graphic novel ; Fiction ; Science fiction,English,
"Aaron, Jason",,person,,"Aaron, Jason [person] ; Garney, Ron [person] ; Guedes, Renato [person]",016106975,Monograph,Language material ; Text,Volume,GBB259559,9780785161424,"Goodbye, Chinatown",,Wolverine,,England ; United States of America,London ; New York,Marvel ; Turnaround,2012,,"1 volume, chiefly colour illustrations, 26 cm",741.5,,"Wolverine (Fictitious character)--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fiction ; Science fiction,English,
"Aaron, Jason",,person,,"Aaron, Jason [person] ; Garney, Ron [person] ; Kubert, Adam [person]",016181872,Monograph,Language material ; Text,Volume,GBB299252,9780785161448,Wolverine. Back in Japan,,,,England ; United States of America,London ; New York,Marvel ; Turnaround,2013,,"1 volume, 26 cm",741.5,,"Wolverine (Fictitious character)--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fiction ; Science fiction,English,
"Aaron, Jason",,person,,"Aaron, Jason [person] ; Garney, Ron [person] ; Suǆuka, Goran [person]",016004900,Monograph,Language material ; Text,Volume,GBB202012,9780785161417,"Goodbye, Chinatown",,Wolverine,,England ; United States of America,London ; New York,Marvel ; Turnaround,2012,,"1 volume, 26 cm",741.5,,"Wolverine (Fictitious character)--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fiction ; Science fiction,English,
"Aaron, Jason",,person,,"Aaron, Jason [person] ; Garney, Ron [person]",015874540,Monograph,Language material ; Text,Volume,GBB199454,9780785151951,Ultimate comics Captain America,,,,England ; United States of America,London ; New York,Marvel ; Turnaround,2011,,"1 volume, chiefly illustrations, 23 cm",741.5,,"Captain America, (Fictitious character)--Comic books, strips, etc--Fiction ; Superheroes--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fiction ; Science fiction,English,
"Aaron, Jason",,person,,"Aaron, Jason [person] ; Girner, Sebastian [person] ; Dillon, Steve [person] ; Alonso, Axel [person]",015494474,Monograph,Language material ; Text,Volume,GBB030816,9780785140719 ; 9780785145967,Punisher Max. Kingpin,Kingpin ; PunisherMax,,,United States of America,New York,Marvel Worldwide,2010,,"1 volume (unpaged), chiefly colour illustrations, 27 cm",741.5973,YK.2010.b.9178,"Organized crime--Comic books, strips, etc ; Punisher (Fictitious character)--Comic books, strips, etc",Comic or graphic novel ; Novel ; Science fiction,English,'Contains material originally published in magazine form as Punishermax #1-5.'
"Aaron, Jason",,person,,"Aaron, Jason [person] ; Guedes, Renato [person]",015695818,Monograph,Language material ; Text,Volume,GBB0D6282,9780785147848,Wolverine goes to hell,,,,England ; United States of America,London ; New York,Marvel ; Turnaround,2011,,"1 volume, chiefly illustrations",741.5,,"Wolverine (Fictitious character)--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fiction ; Science fiction,English,
"Aaron, Jason",,person,,"Aaron, Jason [person] ; Kubert, Adam [person]",015955657,Monograph,Language material ; Text,Volume,GBB1C3937,9780785140801,Astonishing Spider-Man and Wolverine,,,,England ; United States of America,London ; New York,Marvel ; Turnaround,2012,,"1 volume, chiefly colour illustrations, 23 cm",741.5,,"Wolverine (Fictitious character)--Comic books, strips, etc--Fiction ; Spider-Man, (Fictitious character)--Comic books, strips etc--Fiction",Comic or graphic novel ; Fantasy ; Fiction,English,
"Aaron, Jason",,person,,"Fialkov, Joshua Hale, 1979- [person] ; Marz, Ron [person] ; Andreyko, Marc [person] ; Aaron, Jason [person]",014702816,Monograph,Language material ; Text,Volume,GBA8A3676,9781401220037 ; 9781848560000,Friday the 13th. Book 2,Abuser and the abused ; Bad land ; How I spent my summer vacation ; Pamela's tale,,,England,"La Jolla, California ; London",Titan ; Wildstorm,2008,,"146 pages, chiefly colour illustrations, 26 cm",741.5973,YK.2010.b.2044,"Voorhees, Jason (Fictitious character)--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fiction ; Horror,English,
"Aaron, Jason",,person,artist,"Bachalo, Chris, artist [person] ; Aaron, Jason, artist [person] ; Bradshaw, Nick, artist [person]",016269955,Monograph,Language material ; Still image ; Text,Volume,GBB311127,9780785165439,Wolverine and the X-Men. Volume 4,,,,United States of America,New York,Marvel,2013,,"1 volume, chiefly colour illustrations, 26 cm",741.5,,"X-Men (Fictitious characters)--Fiction ; Wolverine (Fictitious character)--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fiction ; Science fiction,English,
"Aaron, Jason",,person,author,"Aaron, Jason, author [person] ; Bianchi, Simone, illustrator [person]",016317476,Monograph,Language material ; Still image ; Text,Volume,GBB337570,9781846535437,Thanos rising,,Superior Spider-man,,England,Tunbridge Wells,Panini,2013,,"112 unnumbered pages, chiefly colour illustrations, 26 cm",741.5973,YKL.2016.b.3089,"Spider-Man, (Fictitious character)--Comic books, strips etc--Fiction",Comic or graphic novel ; Fiction ; Science fiction,English,
"Aaron, Jason",,person,author,"Aaron, Jason, author [person] ; Guice, Jackson, artist [person] ; Ribic, Esad, artist [person]",016863004,Monograph,Language material ; Still image ; Text,Volume,GBB496900,9780785191131,Thor : god of thunder. Volume 1,,,,United States of America,New York,Marvel,2014,,"1 volume, chiefly illustrations, 28 cm",741.5,,"Thor (Norse deity)--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fantasy ; Fiction,English,
"Aaron, Jason",,person,author,"Aaron, Jason, author [person] ; Guice, Jackson, artist [person] ; Ribic, Esad, artist [person]",019280861,Monograph,Language material ; Still image ; Text,Volume,GBB941363,9781302918101,Thor : the complete collection. Volume 1,,,,United States of America,New York,Marvel Worldwide,2019,,"1 volume, chiefly illustrations, 26 cm",741.5,,"Thor, (Fictitious character from Marvel Comics Group)--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fantasy ; Fiction,English,
"Aaron, Jason",,person,author,"Aaron, Jason, author [person] ; Guillory, Rob, artist [person] ; Sauvage, Marguerite, artist [person]",017693149,Monograph,Language material ; Still image ; Text,Volume,GBB601577,9780785197850,Who holds the hammer?,,Marvel now! ; Thor,2 [Thor],United States of America,New York,Marvel Worldwide,2016,,"1 volume, chiefly colour illustrations, 26 cm",741.5,,"Thor, (Norse diety)--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fantasy ; Fiction,English,Originally published: 2015
"Aaron, Jason",,person,author,"Aaron, Jason, author [person] ; McNiven, Steve, artist [person] ; Ribic, Esad, artist [person]",018637143,Monograph,Language material ; Still image ; Text,Volume,GBB7N3800,9781846538872,Marvel legacy,,,,England,"Tunbridge Wells, Kent",Panini Publishing,2018,,"1 volume (unpaged), illustrations (black and white and colour), 26 cm",741.5973,YKL.2019.b.2408,,Science fiction,English,
"Aaron, Jason",,person,author,"Aaron, Jason, author [person] ; Moss, Wil, editor [person] ; Wilson, Matthew, 1981- [person] ; Dauterman, Russell, artist [person] ; Sabino, Joe [person]",017764653,Monograph,Language material ; Still image ; Text,Volume,GBB632982,9780785195221 ; 9781846537110,The Mighty Thor. Thunder in her veins,Thunder in her veins,,,United States of America,"Tunbridge Wells, Kent",Panini Publishing,2016,,"1 volume (unpaged), chiefly colour illustrations, 26 cm",741.5973,YKL.2017.b.5027,"Thor, (Norse deity)--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fantasy ; Fiction,English,'Collecting Mighty Thor volume 7 #1-5'--Back cover
"Aaron, Jason",,person,author,"Aaron, Jason, author [person] ; Ribic, Esad, artist [person]",016206052,Monograph,Language material ; Still image ; Text,Volume,GBB2B2397,9781846535338,Thor : god of thunder. The god butcher,God butcher,,,England,Tunbridge Wells,Panini Publishing,2013,,"approximately 100 pages, chiefly colour illustrations, 26 cm",741.5973,YKL.2017.b.3325,"Thor (Norse deity)--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fantasy ; Fiction,English,'Collecting Thor God of Thunder #1-5'--Back cover
"Aaron, Jason",,person,author,"Aaron, Jason, author [person] ; Ribic, Esad, artist [person]",016269962,Monograph,Language material ; Still image ; Text,Volume,GBB311134,9780785168423,The God Butcher,,"Thor, God of Thunder","1 [Thor, God of Thunder]",United States of America,New York,Marvel,2013,,"1 volume, chiefly illustrations, 26 cm",741.5,,"Thor (Norse deity)--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fantasy ; Fiction,English,
"Aaron, Jason",,person,author,"Aaron, Jason, author [person] ; Ribic, Esad, artist [person]",016472452,Monograph,Language material ; Still image ; Text,Volume,GBB371467,9780785168430,Godbomb,,"Marvel now! ; Thor, God of Thunder","volume 2 [Thor, God of Thunder]",United States of America,New York,Marvel,2013,,"1 volume, chiefly colour illustrations, 26 cm",741.5,,"Thor (Norse deity)--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fantasy ; Fiction,English,
"Aaron, Jason",,person,author,"Aaron, Jason, author [person] ; Ribic, Esad, artist [person]",016683126,Monograph,Language material ; Still image ; Text,Volume,GBB438142,9780785166986,Godbomb,,"Marvel now! ; Thor, God of Thunder","2 [Thor, God of Thunder]",United States of America,New York,Marvel,2014,,"1 volume, chiefly colour illustrations, 26 cm",741.5,,"Thor (Norse deity)--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fantasy ; Fiction,English,
"Aaron, Jason",,person,author,"Aaron, Jason, author [person] ; Ribic, Esad, artist [person]",016733051,Monograph,Language material ; Still image ; Text,Volume,GBB456530,9780785154884,Last days of Asgard,,"Marvel now! ; Thor, God of Thunder","4 [Thor, God of Thunder]",United States of America,New York,Marvel,2014,,"1 volume, chiefly colour illustrations, 26 cm",741.5,,"Thor (Norse deity)--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fantasy ; Fiction,English,
"Aaron, Jason",,person,author,"Aaron, Jason, author [person] ; Ribic, Esad, artist [person]",017350387,Monograph,Language material ; Still image ; Text,Volume,GBB561698,9780785189916,The last days of Midgard,,"Marvel now! ; Thor, God of Thunder","4 [Thor, God of Thunder]",United States of America,New York,Marvel,2015,,"1 volume, chiefly illustrations, 26 cm",741.5,,"Thor (Norse deity)--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fantasy ; Fiction,English,
"Aaron, Jason",,person,author,"Aaron, Jason, author [person] ; Ribic, Esad, artist [person]",019568536,Monograph,Language material ; Still image ; Text,Volume,GBB9G7035,9781302918927,The God butcher,,"Thor, God of Thunder",,United States of America,New York,Marvel Worldwide,2019,Marvel select edition,"1 volume, chiefly colour illustrations, 26 cm",741.5,,"Thor, (Norse deity)--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fantasy ; Fiction,English,
"Aaron, Jason",,person,author,"Aaron, Jason, author [person] ; Ribic, Esad, artist [person]",019673459,Monograph,Language material ; Still image ; Text,Volume,GBC005634,9781302921026,King Thor,,,,United States of America,New York,Marvel Worldwide,2020,,"1 volume, chiefly colour illustrations, 26 cm",741.5,,"Thor, (Fictitious character from Marvel Comics Group)--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fiction ; Science fiction,English,
"Aaron, Jason",,person,author,"Aaron, Jason, author [person] ; Sabino, Joe, artist [person] ; White, Dean (Dean V.), artist [person] ; Svorcina, Ive, artist [person] ; Thomas, Jake, editor [person] ; Sankovitch, Lauren, editor [person] ; Ribic, Esad, artist [person]",016536972,Monograph,Language material ; Still image ; Text,Volume,GBB3A1281,9780785166979,The God butcher,,"Thor, God of Thunder",,United States of America,New York,Marvel,2014,,"1 volume, chiefly colour illustrations, 26 cm",741.5,,"Thor (Norse deity)--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fantasy ; Fiction,English,Originally published: 2013
"Aaron, Jason",,person,author,"Aaron, Jason, author [person] ; Thompson, Robbie, author [person] ; Irving, Frazer, artist [person] ; Marks Barravecchia, Jonathan, artist [person] ; Nowlan, Kevin, artist [person] ; Bachalo, Chris, artist [person] ; Romero, Leonardo, artist [person] ; Immonen, Kathryn, author [person]",018461892,Monograph,Language material ; Still image ; Text,Volume,GBB7D8913,9781846538421,Doctor Strange. Mr. Misery,Mr. Misery,,,England,"Tunbridge Wells, Kent",Panini Publishing,2017,,"1 volume (unpaged), colour illustrations, 26 cm",741.5973,YKL.2019.b.1072,"Strange, Stephen, (Fictitious character)--Comic books, strips, etc",Comic or graphic novel ; Science fiction,English,volume 4
"Aaron, Jason",,person,author,"Aaron, Jason, author [person]",016596721,Monograph,Language material ; Still image ; Text,Volume,GBB401946,9780785185550,The accursed,,"Thor, God of Thunder","3 [Thor, God of Thunder]",United States of America,New York,Marvel,2014,,"1 volume, chiefly illustrations, 26 cm",741.5,,"Thor (Norse deity)--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fiction ; Science fiction,English,
"Aaron, Jason",,person,author,"Aaron, Jason, author [person]",016643230,Monograph,Language material ; Still image ; Text,Volume,GBB424482,9780785166016,Wolverine and the X-Men. Volume 8,,,,United States of America,New York,Marvel,2014,,"1 volume, chiefly illustrations, 26 cm",741.5,,"X-Men (Fictitious characters)--Fiction ; Wolverine (Fictitious character)--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fiction ; Science fiction,English,
"Aaron, Jason",,person,author,"Aaron, Jason, author [person]",016867966,Monograph,Language material ; Still image ; Text,Volume,GBB499499,9780785185567,The accursed,,"Thor, God of Thunder","3 [Thor, God of Thunder]",United States of America,New York,Marvel,2014,,"1 volume, chiefly illustrations, 26 cm",741.5,,"Thor (Norse deity)--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fiction ; Science fiction,English,
"Aaron, Jason",,person,author,"Aaron, Jason, author [person]",018092627,Monograph,Language material ; Still image ; Text,Volume,GBB6F0533,9780785199847,Last flight of the Harbinger,,Star Wars,4 [Star Wars],United States of America,New York,Marvel Worldwide,2017,,"1 volume, chiefly illustrations, 23 cm",741.5,,,Science fiction,English,
"Aaron, Jason",,person,author,"Aaron, Jason, author [person]",018330657,Monograph,Language material ; Still image ; Text,Volume,GBB775631,9781302902650,Yoda's secret war,,Star Wars,,United States of America,New York,Marvel Worldwide,2017,,"1 volume, chiefly illustrations, 26 cm",741.5,,,Science fiction,English,
"Aaron, Jason",,person,author,"Aaron, Jason, author [person]",018542010,Monograph,Language material ; Still image ; Text,Volume,GBB7I6210,9781302905538,Out among the stars,,Star Wars,volume 6 [Star Wars],United States of America,New York,Marvel Worldwide,2017,,"1 volume, chiefly illustrations, 23 cm",741.5,,,Science fiction,English,
"Aaron, Jason",,person,author,"Aaron, Jason, author [person]",019865948,Monograph,Language material ; Still image ; Text,Volume,GBC099788,9781302924874,Avengers. Volume 8,,,,United States of America,New York,Marvel Worldwide,2020,,"1 volume, chiefly illustrations, 26 cm",741.5,,"Avengers (Fictitious characters)--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fiction ; Science fiction,English,
"Aaron, Jason",,person,author,"Alonso, Axel, editor [person] ; Aaron, Jason, author [person] ; Moss, Wil, editor [person] ; Deodato, Mike, illustrator [person] ; Brevoort, Tom, editor [person]",016823032,Monograph,Language material ; Still image ; Text,Volume,GBB485274,9781846536328,Original sin,,,,England,"Tunbridge Wells, Kent",Panini Publishing,2014,,"1 volume (unpaged), chiefly colour illustrations, 26 cm",741.5,YKL.2016.b.196,,Science fiction,English,
"Aaron, Jason",,person,author,"Alonso, Axel, editor [person] ; Aaron, Jason, author [person] ; Moss, Wil, editor [person] ; Sankovitch, Lauren, editor [person] ; Moisan, Joe, editor [person] ; Ribic, Esad, artist [person] ; Marvel Entertainment, Llc [organisation] ; Alessio, Agustin, artist [person]",016715161,Monograph,Language material ; Still image ; Text,Volume,GBB451676,9781846536038,The last days of Midgard,,"Thor, God of thunder","4 [Thor, God of thunder]",England,"Tunbridge Wells, Kent",Panini Publishing,2014,,"1 volume (unpaged), chiefly colour illustrations, 26 cm",741.5973,YKL.2016.b.1119,"Thor (Norse deity)--Comic books, strips, etc",Comic or graphic novel ; Fantasy,English,'Collecting Thor: God of thunder #19.NOW-24'--Back cover ; 'Marvel'--Cover
"Aaron, Jason",,person,author,"Alonso, Axel, editor [person] ; Bachalo, Chris, artist [person] ; Aaron, Jason, author [person]",018133492,Monograph,Language material ; Still image ; Text,Volume,GBB6J9684,9781846537783,Blood in the aether,,Doctor Strange,3 [Doctor Strange],England,"Tunbridge Wells, Kent",Panini Publishing,2017,,"1 volume (unpaged), chiefly colour illustrations, 26 cm",741.5,YKL.2018.b.2317,"Strange, Stephen, (Fictitious character)--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fiction ; Science fiction,English,
"Aaron, Jason",,person,author,"Bachalo, Chris, artist [person] ; Aaron, Jason, author [person] ; Bradshaw, Nick, artist [person]",016683144,Monograph,Language material ; Text,Volume,GBB438160,9780785190240,Wolverine & the X-men,,,,United States of America,New York,Marvel,2014,,"1 volume, chiefly illustrations, 28 cm",741.5,,"X-Men (Fictitious characters)--Comic books, strips, etc--Fiction ; Wolverine (Fictitious character)--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fiction ; Science fiction,English,
"Aaron, Jason",,person,author,"Bachalo, Chris, artist [person] ; Aaron, Jason, author [person]",017725108,Monograph,Language material ; Still image ; Text,Volume,GBB615446,9780785195160,The way of the weird,,Doctor Strange,1 [Doctor Strange],United States of America,New York,Marvel Worldwide,2016,,"1 volume, chiefly colour illustrations, 26 cm",741.5,,"Strange, Stephen, (Fictitious character)--Fiction",Fiction ; Science fiction,English,
"Aaron, Jason",,person,author,"Bachalo, Chris, artist [person] ; Aaron, Jason, author [person]",017913219,Monograph,Language material ; Still image ; Text,Volume,GBB692280,9781846537455,The last days of magic,,Doctor Strange,volume 2 [Doctor Strange],England,"Tunbridge Wells, Kent",Panini Publishing,2016,,"1 volume (unpaged), chiefly colour illustrations, 26 cm",741.5,YKL.2018.b.460,"Strange, Stephen, (Fictitious character)--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fiction ; Science fiction,English,
"Aaron, Jason",,person,author,"Bachalo, Chris, artist [person] ; Aaron, Jason, author [person]",017953696,Monograph,Language material ; Still image ; Text,Volume,GBB6A3808,9780785195177,The last days of magic,,Doctor Strange,volume 2 [Doctor Strange],United States of America,New York,Marvel Worldwide,2016,,"1 volume, chiefly illustrations, 26 cm",741.5,,"Strange, Stephen, (Fictitious character)--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fiction ; Science fiction,English,
"Aaron, Jason",,person,author,"Bachalo, Chris, artist [person] ; Aaron, Jason, author [person]",018037214,Monograph,Language material ; Still image ; Text,Volume,GBB6D5595,9780785199328,The way of the weird,,Doctor Strange,1 [Doctor Strange],United States of America,New York,Marvel Worldwide,2016,,"1 volume, chiefly colour illustrations, 26 cm",741.5,,"Strange, Stephen, (Fictitious character)--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fiction ; Science fiction,English,
"Aaron, Jason",,person,author,"Bachalo, Chris, artist [person] ; Aaron, Jason, author [person]",018494565,Monograph,Language material ; Still image ; Text,Volume,GBB7F8224,9781302903008,Blood in the aether,,Doctor Strange,3 [Doctor Strange],United States of America,New York,Marvel Worldwide,2017,,"1 volume, chiefly colour illustrations, 23 cm",741.5,,"Strange, Stephen, (Fictitious character)--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fiction ; Science fiction,English,
"Aaron, Jason",,person,author,"Bachalo, Chris, illustrator [person] ; Irwin, Mark, 1969-, illustrator [person] ; Nowlan, Kevin, illustrator [person] ; Aaron, Jason, author [person]",017727016,Monograph,Language material ; Still image ; Text,Volume,GBB617354,9781846537103,The way of the weird,,Doctor Strange,volume 1 [Doctor Strange],England,"Tunbridge Wells, Kent",Panini Publishing,2016,,"1 volume (unpaged), chiefly colour illustrations, 26 cm",741.5973,YKL.2017.b.4559,"Science fiction comic books, strips, etc ; Strange, Stephen (Fictitious character)",Science fiction,English,Collecting Doctor Strange volume 4 #1-5
"Aaron, Jason",,person,author,"Bianchi, Simone, artist [person] ; Aaron, Jason, author [person] ; Immonen, Stuart, artist [person]",017602410,Monograph,Language material ; Still image ; Text,Volume,GBB5F7637,9780785192145,Showdown on Smugglers Moon,,Star Wars,volume 2 [Star Wars],United States of America,New York,Marvel Worldwide,2016,,"1 volume, chiefly colour illustrations, 26 cm",741.5,,,Science fiction,English,
"Aaron, Jason",,person,author,"Bianchi, Simone, artist [person] ; Aaron, Jason, author [person]",016472453,Monograph,Language material ; Still image ; Text,Volume,GBB371468,9780785184003,Thanos rising,,Superior Spider-man,,United States of America,New York,Marvel,2013,,"1 volume, chiefly illustrations, 26 cm",741.5,,"Spider-Man, (Fictitious character)--Comic books, strips etc--Fiction",Comic or graphic novel ; Fiction ; Science fiction,English,
"Aaron, Jason",,person,author,"Bianchi, Simone, artist [person] ; Aaron, Jason, author [person]",016714029,Monograph,Language material ; Still image ; Text,Volume,GBB450545,9780785190479,Thanos rising,,,,United States of America,New York,Marvel,2014,,"1 volume, chiefly illustrations, 28 cm",741.5,,"Spider-Man, (Fictitious character)--Comic books, strips etc--Fiction",Comic or graphic novel ; Fiction ; Science fiction,English,
"Aaron, Jason",,person,author,"Bianchi, Simone, artist [person] ; Aaron, Jason, author [person]",019453151,Monograph,Language material ; Still image ; Text,Volume,GBB9B6053,9781302918835,Thanos rising,,,,United States of America,New York,Marvel Worldwide,2019,Marvel select edition,"1 volume, chiefly illustrations, 26 cm",741.5,,"Thanos, (Fictitious character from Marvel Comics Group)--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fiction ; Science fiction,English,
