Name,Dates associated with name,Type of name,Role,Other names,BL record ID,Type of resource,Content type,Material type,BNB number,ISBN,Title,Variant titles,Series title,Number within series,Country of publication,Place of publication,Publisher,Date of publication,Edition,Physical description,Dewey classification,BL shelfmark,Topics,Genre,Languages,Notes
"Graham, Brandon",,person,artist ; author,"Graham, Brandon, artist ; author [person]",020225319,Monograph,Language material ; Still image ; Text,Volume,GBC195108,9781534313552,Rain like hammers,,,,United States of America,Berkeley,Image Comics,2021,,"1 volume, chiefly illustrations, 26 cm",741.5,,,Science fiction,English,
"Graham, Brandon",,person,author,"Churchland, Marian, 1982-, artist [person] ; Maher, Ariana [person] ; Graham, Brandon, author [person]",018132733,Monograph,Language material ; Still image ; Text,Volume,GBB6J8925,9781534300972,Arclight,,,,United States of America,"Portland, Oregon",Image Comics,2017,,"1 volume (unpaged), colour illustrations, 26 cm",741.5973,YKL.2018.b.2403,Knights and knighthood ; United States ; Graphic novels ; Extraterrestrial beings,Comic or graphic novel ; Fantasy ; Novel,English,'Contains material originally published in single magazine form as Arclight #1-4.'--Title page verso
"Graham, Brandon",,person,author,"Milonogiannis, Giannis, 1988-, artist ; author [person] ; Roy, Simon, 1988-, artist ; author [person] ; Graham, Brandon, author [person]",016559495,Monograph,Language material ; Still image ; Text,Volume,GBB3B1091,9781607068587,Prophet. 3. Empire,,,,United States of America,Berkeley,Image Comics,2014,,"1 volume (unpaged), chiefly colour illustrations, 26 cm",741.5973,YKL.2014.b.1868,"Prophet (Fictitious character : Image Comics)--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fiction ; Science fiction,English,
"Graham, Lorenz",,person,author,"Wells, H. G. (Herbert George), 1866-1946 [person] ; Graham, Lorenz, author [person] ; Cameron, Lou, 1924-2010, artist [person] ; Choma, Christina [person]",017655150,Monograph,Language material ; Still image ; Text,Volume,GBB5H6876,9781910619681,The time machine,Classics illustrated presents The time machine ; Time machine,Classics illustrated,,England,"Newbury, Berkshire",,2016,"New edition, re-origination, Christina Choma","51 pages, colour illustrations, 25 cm",741.5973,YKL.2017.a.11620,,Science fiction,English,At head of title: 'Classics illustrated presents'
"Graley, Sarah",,person,artist,"Graley, Sarah, artist [person] ; Monster, Sfé R., author [person]",020013494,Monograph,Language material ; Text,Volume,GBC0I0412,9781506708362,Minecraft. Volume 2,,Plants vs. zombies,,United States of America,Milwaukie,Dark Horse,2020,,"1 volume, chiefly illustrations, 23 cm",741.5,,,Children's fiction ; Science fiction,English,
"Grall, Caanan",,person,,"Grall, Caanan [person]",015639256,Monograph,Language material ; Text,Volume,GBB0A4598,9780857680259 ; 9781401228354,Celadore,,,,England ; United States of America,London ; New York,DC Comics ; Titan,2010,,"1 volume (unpaged), chiefly colour illustrations, 16 x 22 cm",741.5971,YK.2011.a.17171,"Vampires--Comic books, strips, etc ; Magic--Comic books, strips, etc ; Spirit possession--Comic books, strips, etc ; Apparitions--Comic books, strips, etc",Comic or graphic novel ; Fantasy ; Novel,English,'Originally published online at Zudacomics.com'--T.p. verso
"Granda, Carlos",,person,,"Miller, Mark L. [person] ; Kipling, Rudyard, 1865-1936 [person] ; Granda, Carlos [person]",016045505,Monograph,Language material ; Text,Volume,GBB224603,9781937068424,The jungle book,Grimm fairy tales presents The jungle book ; Jungle book,,,United States of America,"Horsham, Pennsylvania",Zenescope Entertainment,2012,,"156 pages, chiefly colour illustrations, 26 cm",741.5973,YK.2013.b.2515,,Comic or graphic novel ; Fantasy,English,'This volume reprints the comic series Grimm Fairy Tales Presents The Jungle book #1-5 published by Zenescope Entertainment'--Title page verso
"Granda, Carlos",,person,artist,"Garza, Alé, artist [person] ; Granda, Carlos, artist [person] ; Miller, Mark L., author [person]",017112593,Monograph,Language material ; Still image ; Text,Volume,GBB536844,9781628751130,Pirouette. Volume 1,,,,United States of America,Los Angeles,Black Mask Comics,2020,,"1 volume (unpaged), chiefly illustrations, 27 cm",741.5,,,Horror,English,
"Granda, Carlos",,person,artist,"Tedesco, Ralph, author [person] ; Granda, Carlos, artist [person]",017578510,Monograph,Language material ; Still image ; Text,Volume,GBB5F0602,9781942275251,Guardians,,,,United States of America,Horsham,Zenescope,2015,,"1 volume, chiefly colour illustrations",741.5,,,Fantasy,English,
"Grande, J. C.",,person,,"Asadpour, Michael [person] ; Grande, J. C. [person]",015956470,Monograph,Language material ; Text,Volume,GBB1C4750,9781926914817,The nether world : reign of the Illuminati,Arcana Studio presents The nether world,,,Canada,"Burnaby, British Columbia",Arcana Comics,2011,,"approximately 200 pages, chiefly illustrations, 26 cm",741.5973,YK.2012.b.8206,,Novel ; Science fiction,English,
